Math Vocabulary,Theorems,Mathematical Concepts,Jargon

"feedback" "improvements via github.com, which greatly improved"
"Linear Algebra","The study of vectors and certain rules to manipulate vectors."
"Vectors","Special objects that can be added together and multiplied by scalars to produce another object of the same kind."
"Geometric Vectors","Vectors commonly known from school, usually denoted by a small arrow above the letter."
"machine learning","Ability of computers to learn from data and make predictions."
"data scientist" ,"A practitioner skilled in analyzing and interpreting complex data."
"algorithms","Step-by-step procedures for calculations or problem-solving."
"prediction","The outcome guessed based on data analysis."
"analysis pipeline","A sequence of data processing steps to analyze data."
"maximum likelihood","parameter estimation via maximum likelihood."
"maximum a posteriori estimation","parameter estimation via maximum a posteriori."
"Bayesian linear regression","we integrate the parameters out instead of optimizing them."
"dimensionality reduction","to find a compact, lower-dimensional representation of high-dimensional data."
"principal component analysis","a method used in dimensionality reduction."
"Gaussian","a type of probability distribution used in density estimation."
"machine learning","A data-driven approach to designing methodologies for extracting valuable patterns from data."
"data","Core component of machine learning, which is inherently data driven."
"model","A representation that describes a function mapping inputs to real-valued outputs."
"regression","A type of model that describes the relationship between inputs and real-valued outputs."
"generalize","The ability of a model to perform well on unseen data."
"machine learning","mathematical foundations of basic machine learning concepts"
"Mathematics for Machine Learning","a book published by Cambridge University Press"
"skills gap","the difference between the skills that workers have and the skills needed for a particular job"
"linearly dependent","Given vectors that can be expressed as a linear combination of others."
"linearly independent","Vectors that cannot be expressed as a linear combination of others."
"linear combination","A way of combining vectors using scalar multiplication and addition."
"Gaussian elimination","A method for determining whether a set of vectors are linearly independent by transforming them into a simpler form."
"Eigenvalue","Lagrange multiplier or a value associated with a linear transformation indicating how much the eigenvector is stretched or shrunk."
"Eigenspace","The set of all eigenvectors corresponding to a particular eigenvalue, together with the zero vector."
"machine learning","the mathematical basis of machine learning and uncover relationships between different tasks."
"music composers","create new and amazing pieces within the rules and structure of musical theory."
"technical books","provide a high-level overview for people who want to become composers of machine learning."
"researchers","able to propose and explore novel approaches for learning from data."
"Linear Mappings","The kth column of T is the coordinate representation of ¢, with respect to C. Note that both S and T are regular."
"Linearity","We exploited the linearity of 6."
"Theorem 2.20","This is the theorem proved in the text."
"ambiguity","The issue of uncertainty where the same expressions can mean different things depending on the context."
"mathematical concepts","The fundamental ideas and principles used to discuss the components of a machine learning system."
"data","Information that can be numerical or non-numerical, though often represented in number format for computational purposes."
"numerical representation","A format in which data is expressed in numerical terms suitable for reading into a computer program."
"vectors","Mathematical objects used to represent data in a format that can be processed by computations."
"vector space","the set of vectors that can result by starting with a small set of vectors, and adding them to each other and scaling them"
"machine learning","the concept of a vector space and its properties underlie much of machine learning"
"mathematical concepts","focus on the mathematical concepts behind the models themselves."
"machine learning algorithms","four representative examples of machine learning algorithms."
"mathematical background","intention is to provide the mathematical background, applied to four central machine learning problems."
"central machine learning problems","applied to four central machine learning problems."
"practical questions","connect practical questions arising from the use of machine learning with fundamental choices in the mathematical model."
"Learning","can be understood as a way to automatically find patterns and structure in data by optimizing the parameters of the model."
"Machine Learning","has seen many success stories, and software is readily available to design and train rich and flexible systems."
"Mathematical Foundations","are important in order to understand fundamental principles upon which more complicated systems are built."
"Principles","can facilitate creating new solutions, understanding and debugging existing approaches, and learning about the inherent assumptions and limitations of the methodologies."
"general solution","The set of all solutions of the equation system."
"particular solution","A specific solution to the equation Ax = b."
"solutions to Ax = 0","All solutions that correspond to the homogeneous equation."
"Gaussian elimination","A constructive algorithmic way of transforming any system of linear equations into a particularly simple form."
"elementary transformations","Key operations used in Gaussian elimination to manipulate the matrix."
"gradient","the concept of gradients, which we subsequently use in Chapter 7, where we talk about optimization to find maxima/minima of functions."
"optimization","the process of finding maxima/minima of functions."
"maxima","the highest point of a function or dataset."
"minima","the lowest point of a function or dataset."
